name,alt,group,tvg_id,tvg_name,category,source,playlist_url,url,elapsed_ms,speed_score,final_ok
American Horrors,,Movies,AmericanHorrors.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://107.167.7.162:8081/playlist/amhor/playlist.m3u8,793,,True
&TV,,Movies,AndTV.in,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://202.70.146.135:8000/play/a06c/index.m3u8,1270,,True
Armenia Premium,,Movies,ArmeniaPremium.am,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://stream.mcquack.net/123/index.m3u8,903,,True
Amedia Hit,,Movies,AmediaHit.ru,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://flussonic.linkintel.ru/amedia-hit/index.m3u8,1572,,True
4ever Cinema,,Movies,4everCinema.ua,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://stream.mcquack.net/258/index.m3u8,998,,True
24 Hour Free Movies,,Movies,24HourFreeMovies.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8,1860,,True
AMC,,Movies,AMC.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://41.205.93.154/AMC/index.m3u8,1310,,True
00s Replay,,Movies,00sReplay.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8,2071,,True
AMC Europe,,Movies,AMCEurope.uk,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://88.212.15.19/live/amc_hun/index.m3u8,1098,,True
Allo Cine,,Movies,AlloCine.cm,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://d1yl6bf4hrzbr0.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-5km3zs4zs9sp0/allo.m3u8,2128,,True
Asianet Movies,,Movies,AsianetMovies.in,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:asianetmovies1.smil/playlist.m3u8,946,,True
Afra Film,,Movies,AfraFilm.ir,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://afrafhls.wns.live/hls/stream.m3u8,1795,,True
AVI Rewind,,Movies,AVIRewind.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://45.70.201.81:8000/play/a010/index.m3u8,768,,True
90s Throwback,,Movies,90sThrowback.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://jmp2.uk/plu-5f4d86f519358a00072b978e.m3u8,2194,,True
Adrenalina Pura TV,,Movies,AdrenalinaPuraTV.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,https://jmp2.uk/plu-61b793ccf571b80007b7a610.m3u8,2366,,True
ABN Bible Movies Channel,Aramaic Broadcasting Network,US,ABNBibleMoviesChannel.us,,电影综合,iptv-org,,https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8,1693,,True
AXN Black,,Movies,AXNBlack.us,,电影综合,IPTV-Nexus:3,https://dearbulut.github.io/iptv/playlists/category/movies.m3u,http://185.227.34.179:8080/axn-black/index.m3u8,827,,True
